Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event;Time_s;Age
208;02:06:24;Raji Assefa;ETH;1986-02-18;2.0;Paris;2012-04-15;Men;Marathon;7584.0;26.172602739726027
208;02:06:24;Stephen Chemlany;KEN;1982-08-09;2.0;Seoul;2014-03-16;Men;Marathon;7584.0;31.621917808219177
211;02:06:25;Evans Kiprop Cheruiyot;KEN;1982-05-10;1.0;Chicago;2008-10-12;Men;Marathon;7585.0;26.443835616438356
211;02:06:25;Deressa Chisma;ETH;1976-11-21;1.0;Praha;2012-05-13;Men;Marathon;7585.0;35.4986301369863
211;02:06:25;James Kipsang Kwambai;KEN;1983-02-28;1.0;Seoul;2013-11-03;Men;Marathon;7585.0;30.7013698630137
211;02:06:25;Felix Kandie;KEN;1987-04-10;6.0;Amsterdam;2016-10-16;Men;Marathon;7585.0;29.53972602739726
211;02:06:25;Dickson Chumba;KEN;1986-10-27;3.0;Tokyo;2017-02-26;Men;Marathon;7585.0;30.356164383561644
211;02:06:25;Laban Korir;KEN;1985-12-30;3.0;Rotterdam;2017-04-09;Men;Marathon;7585.0;31.295890410958904
217;02:06:26;David Kiyeng;KEN;1983-01-01;3.0;Paris;2009-04-05;Men;Marathon;7586.0;26.276712328767122
217;02:06:26;Feyisa Bekele;ETH;1983-08-04;4.0;Amsterdam;2012-10-21;Men;Marathon;7586.0;29.235616438356164
217;02:06:26;Geoffrey Kamworor;KEN;1992-11-28;3.0;Berlin;2013-09-29;Men;Marathon;7586.0;20.84931506849315
217;02:06:26;Sisay Lemma;ETH;1990-12-12;1.0;Frankfurt;2015-10-25;Men;Marathon;7586.0;24.884931506849316
217;02:06:26;Festus Talam;KEN;1994-10-20;1.0;Eindhoven;2016-10-09;Men;Marathon;7586.0;21.986301369863014
222;02:06:27;Sisay Jisa;ETH;1982-11-29;3.0;Paris;2012-04-15;Men;Marathon;7587.0;29.397260273972602
222;02:06:27;Geoffrey Kirui;KEN;1993-02-16;7.0;Amsterdam;2016-10-16;Men;Marathon;7587.0;23.67945205479452
222;02:06:27;Wilson Loyanai;KEN;1988-11-20;5.0;Seoul;2017-03-19;Men;Marathon;7587.0;28.345205479452055
225;02:06:28;Nathaniel Kipkosgei;KEN;1984-09-01;2.0;Eindhoven;2011-10-09;Men;Marathon;7588.0;27.12054794520548
225;02:06:28;Emmanuel Mutai;KEN;1984-10-12;2.0;New York City;2011-11-06;Men;Marathon;7588.0;27.084931506849315
227;02:06:29;Emmanuel Mutai;KEN;1984-10-12;1.0;Amsterdam;2007-10-21;Men;Marathon;7589.0;23.03835616438356
227;02:06:29;Bernard Kiprop Kipyego;KEN;1986-07-16;3.0;Chicago;2011-10-09;Men;Marathon;7589.0;25.24931506849315
227;02:06:29;Robert Kiprono Cheruiyot;KEN;1988-08-10;5.0;Frankfurt;2011-10-30;Men;Marathon;7589.0;23.235616438356164
227;02:06:29;Yemane Adhane;ETH;1985-04-08;10.0;Dubai;2012-01-27;Men;Marathon;7589.0;26.82191780821918
227;02:06:29;Bernard Koech;KEN;1988-01-31;3.0;Amsterdam;2013-10-20;Men;Marathon;7589.0;25.736986301369864
232;02:06:30;Yemane Adhane;ETH;1985-04-08;4.0;Paris;2009-04-05;Men;Marathon;7590.0;24.008219178082193
232;02:06:30;Sammy Kirop Kitwara;KEN;1986-11-26;3.0;Tokyo;2014-02-23;Men;Marathon;7590.0;27.263013698630136
232;02:06:30;Tsegay Kebede;ETH;1987-01-15;3.0;London;2014-04-13;Men;Marathon;7590.0;27.26027397260274
235;02:06:31;Tadesse Tola;ETH;1987-10-31;2.0;Frankfurt;2010-10-31;Men;Marathon;7591.0;23.016438356164382
235;02:06:31;Benjamin Kiptoo;KEN;1979-01-01;1.0;Paris;2011-04-10;Men;Marathon;7591.0;32.293150684931504
235;02:06:31;Peter Kirui;KEN;1988-01-02;6.0;Frankfurt;2011-10-30;Men;Marathon;7591.0;23.84109589041096
235;02:06:31;Ayele Absehero;ETH;1990-12-28;4.0;London;2014-04-13;Men;Marathon;7591.0;23.306849315068494
239;02:06:32;Samuel Wanjiru;KEN;1986-11-10;1.0;Beijing;2008-08-24;Men;Marathon;7592.0;21.802739726027397
240;02:06:33;Gert Thys;RSA;1971-11-12;1.0;Tokyo;1999-02-14;Men;Marathon;7593.0;27.276712328767122
240;02:06:33;Michael Rotich;KEN;1982-10-29;1.0;Paris;2003-04-06;Men;Marathon;7593.0;20.44931506849315
240;02:06:33;Chala Dechase;ETH;1984-06-13;2.0;Dubai;2010-01-22;Men;Marathon;7593.0;25.627397260273973
240;02:06:33;Nicholas Kipkemboi;KEN;1986-07-05;6.0;Dubai;2013-01-25;Men;Marathon;7593.0;26.578082191780823
240;02:06:33;Emmanuel Mutai;KEN;1984-10-12;2.0;London;2013-04-21;Men;Marathon;7593.0;28.542465753424658
240;02:06:33;Stephen Kiprotich;UGA;1989-04-18;2.0;Tokyo;2015-02-22;Men;Marathon;7593.0;25.865753424657534
240;02:06:33;Mathew Kisorio;KEN;1989-05-16;2.0;Valencia;2015-11-15;Men;Marathon;7593.0;26.517808219178082
247;02:06:34;Marilson dos Santos;BRA;1977-08-06;4.0;London;2011-04-17;Men;Marathon;7594.0;33.71780821917808
247;02:06:34;Nicholas Manza;KEN;1985-03-02;4.0;Amsterdam;2011-10-16;Men;Marathon;7594.0;26.64109589041096
247;02:06:34;Dickson Chumba;KEN;1986-10-27;3.0;Tokyo;2015-02-22;Men;Marathon;7594.0;28.34246575342466
247;02:06:34;Lani Rutto;KEN;1989-03-29;2.0;Frankfurt;2015-10-25;Men;Marathon;7594.0;26.59178082191781
251;02:06:35;Haile Gebrselassie;ETH;1973-04-18;3.0;London;2002-04-14;Men;Marathon;7595.0;29.008219178082193
251;02:06:35;Markos Geneti;ETH;1984-05-30;1.0;Los Angeles;2011-03-20;Men;Marathon;7595.0;26.82191780821918
251;02:06:35;Stephen Tum;KEN;1986-06-12;1.0;Marrakesh;2013-01-27;Men;Marathon;7595.0;26.646575342465752
251;02:06:35;Feyisa Lilesa;ETH;1990-02-01;4.0;Dubai;2015-01-23;Men;Marathon;7595.0;24.991780821917807
255;02:06:36;António Pinto;POR;1966-03-22;1.0;London;2000-04-16;Men;Marathon;7596.0;34.09315068493151
255;02:06:36;Benoit Zwierzchiewski;FRA;1976-08-19;2.0;Paris;2003-04-06;Men;Marathon;7596.0;26.646575342465752
255;02:06:36;Kenenisa Bekele;ETH;1982-06-13;3.0;London;2016-04-24;Men;Marathon;7596.0;33.88767123287671
258;02:06:37;Eric Ndiema;KEN;1992-12-28;4.0;Paris;2012-04-15;Men;Marathon;7597.0;19.30958904109589
259;02:06:38;Sammy Korir;KEN;1971-12-12;1.0;Rotterdam;2006-04-09;Men;Marathon;7598.0;34.347945205479455
259;02:06:38;Deriba Merga Ejigu;ETH;1980-10-26;6.0;London;2008-04-13;Men;Marathon;7598.0;27.482191780821918
261;02:06:39;William Kipsang;KEN;1977-06-26;1.0;Amsterdam;2003-10-19;Men;Marathon;7599.0;26.33150684931507
261;02:06:39;Felix Limo;KEN;1980-08-22;1.0;London;2006-04-23;Men;Marathon;7599.0;25.684931506849313
261;02:06:39;Samuel Wanjiru;KEN;1986-11-10;1.0;Fukuoka;2007-12-02;Men;Marathon;7599.0;21.073972602739726
261;02:06:39;Geoffrey Kamworor;KEN;1992-11-28;4.0;Berlin;2014-09-28;Men;Marathon;7599.0;21.846575342465755
265;02:06:40;Tsegay Kebede;ETH;1987-01-15;1.0;Paris;2008-04-06;Men;Marathon;7600.0;21.23835616438356
265;02:06:40;Bernard Kiprop Kipyego;KEN;1986-07-16;6.0;Chicago;2012-10-07;Men;Marathon;7600.0;26.246575342465754
265;02:06:40;Tadesse Abraham;SUI;1982-08-12;4.0;Seoul;2016-03-20;Men;Marathon;7600.0;33.62739726027397
268;02:06:41;Martin Lel;KEN;1978-10-29;2.0;London;2006-04-23;Men;Marathon;7601.0;27.5013698630137
268;02:06:41;Elijah Keitany;KEN;1983-10-18;2.0;Amsterdam;2009-10-18;Men;Marathon;7601.0;26.019178082191782
268;02:06:41;Tadesse Tola;ETH;1987-10-31;1.0;Paris;2010-04-11;Men;Marathon;7601.0;22.46027397260274
268;02:06:41;Stanley Biwott;KEN;1986-04-21;4.0;London;2015-04-26;Men;Marathon;7601.0;29.03287671232877
272;02:06:42;Felix Limo;KEN;1980-08-22;2.0;Amsterdam;2003-10-19;Men;Marathon;7602.0;23.172602739726027
272;02:06:42;Evans Chebet;KEN;1988-03-05;4.0;Tokyo;2017-02-26;Men;Marathon;7602.0;29.0
274;02:06:43;Tsegay Kebede;ETH;1987-01-15;2.0;Chicago;2010-10-10;Men;Marathon;7603.0;23.75068493150685
274;02:06:43;Robert Kiprono Cheruiyot;KEN;1988-08-10;6.0;Boston;2011-04-18;Men;Marathon;7603.0;22.7013698630137
274;02:06:43;Shumi Dechasa;ETH;1989-05-28;1.0;Hamburg;2014-05-04;Men;Marathon;7603.0;24.95068493150685
277;02:06:44;Josephat Kiprono;KEN;1973-12-12;1.0;Berlin;1999-09-26;Men;Marathon;7604.0;25.805479452054794
277;02:06:44;Felix Limo;KEN;1980-08-22;1.0;Berlin;2004-09-26;Men;Marathon;7604.0;24.112328767123287
277;02:06:44;Paul Kirui;KEN;1980-02-05;2.0;Rotterdam;2006-04-09;Men;Marathon;7604.0;26.19178082191781
277;02:06:44;Eliud Kiptanui;KEN;1989-06-06;3.0;Seoul;2012-03-18;Men;Marathon;7604.0;22.797260273972604
277;02:06:44;Gilbert Kirwa;KEN;1985-12-20;3.0;Seoul;2014-03-16;Men;Marathon;7604.0;28.254794520547946
282;02:06:45;Richard Limo;KEN;1980-11-18;2.0;Amsterdam;2007-10-21;Men;Marathon;7605.0;26.93972602739726
282;02:06:45;Getu Feleke;ETH;1986-11-28;2.0;Rotterdam;2013-04-14;Men;Marathon;7605.0;26.394520547945206
282;02:06:45;Abayneh Ayele;ETH;1987-11-04;6.0;Dubai;2016-01-22;Men;Marathon;7605.0;28.235616438356164
282;02:06:45;Bernard Kiprop Kipyego;KEN;1986-07-16;8.0;Amsterdam;2016-10-16;Men;Marathon;7605.0;30.273972602739725
286;02:06:46;Abdelkader El Mouaziz;MAR;1969-01-01;5.0;Chicago;2002-10-13;Men;Marathon;7606.0;33.8027397260274
286;02:06:46;Eshetu Wondimu;ETH;1982-01-26;3.0;Dubai;2010-01-22;Men;Marathon;7606.0;28.008219178082193
286;02:06:46;Mule Wasihun;ETH;1993-10-20;2.0;Dubai;2017-01-20;Men;Marathon;7606.0;23.268493150684932
289;02:06:47;Fred Kiprop;KEN;1974-06-03;1.0;Amsterdam;1999-10-17;Men;Marathon;7607.0;25.389041095890413
289;02:06:47;Raymond Kipkoech Chemwoio;KEN;1978-04-19;1.0;Berlin;2002-09-29;Men;Marathon;7607.0;24.46301369863014
289;02:06:47;Wilson Onsare;KEN;1976-06-15;3.0;Paris;2003-04-06;Men;Marathon;7607.0;26.824657534246576
289;02:06:47;Jonathan Maiyo;KEN;1988-05-05;2.0;Eindhoven;2014-10-12;Men;Marathon;7607.0;26.454794520547946
289;02:06:47;Abera Kuma;ETH;1990-08-31;1.0;Rotterdam;2015-04-12;Men;Marathon;7607.0;24.63013698630137
294;02:06:48;Driss El Himer;FRA;1974-04-04;4.0;Paris;2003-04-06;Men;Marathon;7608.0;29.024657534246575
294;02:06:48;Sammy Korir;KEN;1971-12-12;2.0;London;2004-04-18;Men;Marathon;7608.0;32.37260273972603
294;02:06:48;Rachid Kisri;MAR;1975-03-01;5.0;Paris;2009-04-05;Men;Marathon;7608.0;34.12054794520548
294;02:06:48;Michael Kipyego;KEN;1983-10-02;3.0;Eindhoven;2011-10-09;Men;Marathon;7608.0;28.03835616438356
294;02:06:48;Abraham Girma;ETH;1986-01-01;5.0;Amsterdam;2012-10-21;Men;Marathon;7608.0;26.82191780821918
294;02:06:48;Alfers Lagat;KEN;1986-08-07;3.0;Frankfurt;2015-10-25;Men;Marathon;7608.0;29.235616438356164
294;02:06:48;Mark Korir;KEN;1985-01-10;1.0;Frankfurt;2016-10-30;Men;Marathon;7608.0;31.824657534246576
301;02:06:49;Tesfaye Jifar;ETH;1976-04-23;2.0;Amsterdam;1999-10-17;Men;Marathon;7609.0;23.4986301369863
301;02:06:49;Simon Biwott;KEN;1970-03-03;2.0;Berlin;2002-09-29;Men;Marathon;7609.0;32.5972602739726
301;02:06:49;Joseph Riri;KEN;1973-10-21;2.0;Berlin;2004-09-26;Men;Marathon;7609.0;30.953424657534246
301;02:06:49;Sylvester Teimet;KEN;1984-06-04;1.0;Seoul;2010-03-21;Men;Marathon;7609.0;25.81095890410959
301;02:06:49;Limenih Getachew;ETH;1990-04-30;2.0;Paris;2014-04-06;Men;Marathon;7609.0;23.95068493150685
301;02:06:49;Mark Kiptoo;KEN;1976-06-21;1.0;Frankfurt;2014-10-26;Men;Marathon;7609.0;38.37260273972603
307;02:06:50;Belayneh Dinsamo;ETH;1965-06-28;1.0;Rotterdam;1988-04-17;Men;Marathon;7610.0;22.81917808219178
307;02:06:50;William Kiplagat;KEN;1972-06-21;3.0;Amsterdam;1999-10-17;Men;Marathon;7610.0;27.339726027397262
307;02:06:50;Josephat Kiprono;KEN;1973-12-12;1.0;Rotterdam;2001-04-22;Men;Marathon;7610.0;27.378082191780823
307;02:06:50;Deriba Merga Ejigu;ETH;1980-10-26;2.0;Fukuoka;2007-12-02;Men;Marathon;7610.0;27.117808219178084
307;02:06:50;Moses Kimeli Arusei;KEN;1984-01-01;2.0;Paris;2008-04-06;Men;Marathon;7610.0;24.279452054794522
307;02:06:50;Dennis Kimetto;KEN;1984-04-22;1.0;Tokyo;2013-02-24;Men;Marathon;7610.0;28.863013698630137
313;02:06:51;Atsushi Fujita;JPN;1976-11-06;1.0;Fukuoka;2000-12-03;Men;Marathon;7611.0;24.09041095890411
313;02:06:51;Abel Kirui;KEN;1982-06-04;2.0;Berlin;2007-09-30;Men;Marathon;7611.0;25.339726027397262
313;02:06:51;Tariku Jufar;ETH;1984-07-18;1.0;Houston;2012-01-15;Men;Marathon;7611.0;27.512328767123286
313;02:06:51;Philip Kimutai;KEN;1983-09-10;4.0;Seoul;2012-03-18;Men;Marathon;7611.0;28.53972602739726
313;02:06:51;Martin Lel;KEN;1978-10-29;2.0;London;2012-04-22;Men;Marathon;7611.0;33.50410958904109
313;02:06:51;Yemane Adhane;ETH;1985-04-08;1.0;Daegu;2014-04-06;Men;Marathon;7611.0;29.013698630136986
313;02:06:51;Frankline Chepkwony;KEN;1984-06-15;5.0;Seoul;2016-03-20;Men;Marathon;7611.0;31.783561643835615
320;02:06:52;Abdelkader El Mouaziz;MAR;1969-01-01;4.0;London;2002-04-14;Men;Marathon;7612.0;33.3041095890411
320;02:06:52;Vincent Kipsos;KEN;1976-06-22;3.0;Berlin;2002-09-29;Men;Marathon;7612.0;26.28767123287671
320;02:06:52;Charles Kibiwott;KEN;1974-08-08;3.0;Rotterdam;2006-04-09;Men;Marathon;7612.0;31.69041095890411
320;02:06:52;Julio Rey;ESP;1972-01-13;1.0;Hamburg;2006-04-23;Men;Marathon;7612.0;34.298630136986304
320;02:06:52;Haile Gebrselassie;ETH;1973-04-18;1.0;Fukuoka;2006-12-03;Men;Marathon;7612.0;33.64931506849315
320;02:06:52;Tsegay Kebede;ETH;1987-01-15;3.0;London;2012-04-22;Men;Marathon;7612.0;25.284931506849315
320;02:06:52;Deressa Chisma;ETH;1976-11-21;2.0;Frankfurt;2012-10-28;Men;Marathon;7612.0;35.95890410958904
327;02:06:53;David Kipkorir;KEN;1974-12-15;6.0;Paris;2009-04-05;Men;Marathon;7613.0;34.32876712328767
327;02:06:53;Emmanuel Mutai;KEN;1984-10-12;4.0;London;2009-04-26;Men;Marathon;7613.0;24.553424657534247
327;02:06:53;Elijah Keitany;KEN;1983-10-18;5.0;Amsterdam;2011-10-16;Men;Marathon;7613.0;28.013698630136986
327;02:06:53;Samuel Kosgei;KEN;1986-01-20;7.0;Dubai;2016-01-22;Men;Marathon;7613.0;30.024657534246575
331;02:06:54;Ondoro Osoro;KEN;1967-12-03;1.0;Chicago;1998-10-11;Men;Marathon;7614.0;30.876712328767123
331;02:06:54;Abel Kirui;KEN;1982-06-04;1.0;Berlin;2009-08-22;Men;Marathon;7614.0;27.235616438356164
331;02:06:54;Paul Biwott;KEN;1978-04-18;6.0;Amsterdam;2011-10-16;Men;Marathon;7614.0;33.51780821917808
331;02:06:54;Yemane Adhane;ETH;1985-04-08;1.0;Ottawa;2014-05-25;Men;Marathon;7614.0;29.147945205479452
331;02:06:54;Tilahun Regessa;ETH;1990-01-18;2.0;Xiamen;2015-01-03;Men;Marathon;7614.0;24.975342465753425
336;02:06:55;Hendrick Ramaala;RSA;1972-02-02;3.0;London;2006-04-23;Men;Marathon;7615.0;34.24383561643835
336;02:06:55;Jaouad Gharib;MAR;1972-05-22;3.0;London;2010-04-25;Men;Marathon;7615.0;37.95068493150685
336;02:06:55;Tadesse Tola;ETH;1987-10-31;1.0;Warszawa;2014-04-13;Men;Marathon;7615.0;26.46849315068493
339;02:06:56;Micah Kogo;KEN;1986-06-03;4.0;Chicago;2013-10-13;Men;Marathon;7616.0;27.38082191780822
339;02:06:56;Feyisa Lelisa;ETH;1990-02-01;1.0;Tokyo;2016-02-28;Men;Marathon;7616.0;26.09041095890411
339;02:06:56;Sisay Lemma;ETH;1990-12-12;4.0;Berlin;2016-09-25;Men;Marathon;7616.0;25.805479452054794
342;02:06:57;Takayuki Inubushi;JPN;1972-08-11;2.0;Berlin;1999-09-26;Men;Marathon;7617.0;27.14246575342466
342;02:06:57;Tesfaye Tola;ETH;1974-10-19;4.0;Amsterdam;1999-10-17;Men;Marathon;7617.0;25.01095890410959
342;02:06:57;Ayele Absehero;ETH;1990-12-28;3.0;London;2013-04-21;Men;Marathon;7617.0;22.328767123287673
342;02:06:57;Feyisa Lelisa;ETH;1990-02-01;3.0;Berlin;2015-09-27;Men;Marathon;7617.0;25.66849315068493
342;02:06:57;Stephen Chebogut;KEN;1985-01-09;2.0;Paris;2017-04-09;Men;Marathon;7617.0;32.26849315068493
347;02:06:58;Daniel Rono;KEN;1978-07-13;2.0;Rotterdam;2008-04-13;Men;Marathon;7618.0;29.77260273972603
347;02:06:58;Henry Sugut;KEN;1985-05-04;1.0;Wien;2012-04-15;Men;Marathon;7618.0;26.96712328767123
347;02:06:58;Joseph Gitau;KEN;1988-01-03;1.0;Fukuoka;2012-12-02;Men;Marathon;7618.0;24.931506849315067
347;02:06:58;Michael Kipyego;KEN;1983-10-02;2.0;Tokyo;2013-02-24;Men;Marathon;7618.0;29.41917808219178
347;02:06:58;Michael Kipyego;KEN;1983-10-02;4.0;Tokyo;2014-02-23;Men;Marathon;7618.0;30.416438356164385
347;02:06:58;Tesfaye Abera;ETH;1989-10-09;1.0;Hamburg;2016-04-17;Men;Marathon;7618.0;26.53972602739726
347;02:06:58;Felix Kandie;KEN;1987-04-10;1.0;Gongju;2016-10-16;Men;Marathon;7618.0;29.53972602739726
354;02:06:59;Gilbert Kirwa;KEN;1985-12-20;2.0;Seoul;2010-03-21;Men;Marathon;7619.0;24.265753424657536
354;02:06:59;Franklin Chepkwony;KEN;1984-06-15;1.0;Seoul;2013-03-17;Men;Marathon;7619.0;28.77260273972603
354;02:06:59;Mike Kigen;KEN;1986-01-15;2.0;Frankfurt;2014-10-26;Men;Marathon;7619.0;28.797260273972604
354;02:06:59;Felix Kipchirchir;KEN;1988-01-01;2.0;Seoul;2015-03-15;Men;Marathon;7619.0;27.21917808219178
358;02:07:00;Eric Ndiema;KEN;1992-12-28;2.0;Hamburg;2014-05-04;Men;Marathon;7620.0;21.361643835616437
359;02:07:01;Khalid Khannouchi;USA;1971-12-22;1.0;Chicago;2000-10-22;Men;Marathon;7621.0;28.854794520547944
359;02:07:01;Geoffrey Mutai;KEN;1981-10-07;1.0;Eindhoven;2009-10-11;Men;Marathon;7621.0;28.03013698630137
359;02:07:01;Bernard Kiprop Kipyego;KEN;1986-07-16;5.0;Rotterdam;2010-04-11;Men;Marathon;7621.0;23.753424657534246
359;02:07:01;Dadi Yami;ETH;1982-01-01;2.0;Hamburg;2012-04-29;Men;Marathon;7621.0;30.345205479452055
359;02:07:01;Lawrence Kimaiyo;KEN;1990-09-02;1.0;Kosice;2012-10-07;Men;Marathon;7621.0;22.112328767123287
359;02:07:01;Wilson Loyanai;KEN;1988-11-20;1.0;Gyeongju;2015-10-11;Men;Marathon;7621.0;26.90684931506849
365;02:07:02;Sammy Lelei;KEN;1964-08-14;1.0;Berlin;1995-09-24;Men;Marathon;7622.0;31.13150684931507
365;02:07:02;Driss El Himer;FRA;1974-04-04;1.0;Amsterdam;2001-10-21;Men;Marathon;7622.0;27.567123287671233
365;02:07:02;Felix Limo;KEN;1980-08-22;1.0;Chicago;2005-10-09;Men;Marathon;7622.0;25.147945205479452
365;02:07:02;Paul Biwott;KEN;1978-04-18;3.0;Amsterdam;2009-10-18;Men;Marathon;7622.0;31.523287671232875
365;02:07:02;Tariku Jufar;ETH;1984-07-18;4.0;Seoul;2014-03-16;Men;Marathon;7622.0;29.67945205479452
370;02:07:03;Stanley Biwott;KEN;1986-04-21;1.0;Chuncheon;2011-10-23;Men;Marathon;7623.0;25.523287671232875
371;02:07:04;Khalid Khannouchi;USA;1971-12-22;4.0;London;2006-04-23;Men;Marathon;7624.0;34.35890410958904
371;02:07:04;Francis Kiprop;KEN;1982-06-04;2.0;Berlin;2009-09-20;Men;Marathon;7624.0;27.315068493150687
371;02:07:04;Elias Kemboi;KEN;1984-03-10;3.0;Frankfurt;2010-10-31;Men;Marathon;7624.0;26.660273972602738
371;02:07:04;Bekana Daba;ETH;1988-07-29;1.0;Houston;2011-01-30;Men;Marathon;7624.0;22.52054794520548
371;02:07:04;Samuel Ndungu;KEN;1988-04-04;1.0;Otsu;2012-03-04;Men;Marathon;7624.0;23.931506849315067
376;02:07:05;Joshua Chelanga;KEN;1973-04-07;3.0;Berlin;2004-09-26;Men;Marathon;7625.0;31.493150684931507
376;02:07:05;William Kiplagat;KEN;1972-06-21;3.0;Frankfurt;2009-10-25;Men;Marathon;7625.0;37.36986301369863
376;02:07:05;Deressa Chisma;ETH;1976-11-21;1.0;Toronto;2013-10-20;Men;Marathon;7625.0;36.93698630136986
376;02:07:05;Peter Some;KEN;1990-06-05;5.0;Tokyo;2014-02-23;Men;Marathon;7625.0;23.736986301369864
380;02:07:06;Josephat Kiprono;KEN;1973-12-12;2.0;Amsterdam;2001-10-21;Men;Marathon;7626.0;27.876712328767123
380;02:07:06;Ian Syster;RSA;1976-01-20;5.0;London;2002-04-14;Men;Marathon;7626.0;26.24931506849315
380;02:07:06;Gert Thys;RSA;1971-11-12;1.0;Seoul;2004-03-14;Men;Marathon;7626.0;32.35890410958904
380;02:07:06;Charles Munyeki Kiama;KEN;1986-11-02;4.0;Chicago;2009-10-11;Men;Marathon;7626.0;22.956164383561642
380;02:07:06;Gebretsadik Adhana;ETH;1992-07-16;2.0;Daegu;2014-04-06;Men;Marathon;7626.0;21.736986301369864
380;02:07:06;Sisay Lemma;ETH;1990-12-12;5.0;Dubai;2015-01-23;Men;Marathon;7626.0;24.13150684931507
386;02:07:07;Ahmed Salah;DJI;1956-12-31;2.0;Rotterdam;1988-04-17;Men;Marathon;7627.0;31.315068493150687
386;02:07:07;Paul Koech;KEN;1969-06-25;2.0;Chicago;2003-10-12;Men;Marathon;7627.0;34.320547945205476
386;02:07:07;Benson Barus;KEN;1980-07-04;1.0;Praha;2011-05-08;Men;Marathon;7627.0;30.863013698630137
386;02:07:07;Philemon Rono;KEN;1991-02-08;3.0;Hamburg;2014-05-04;Men;Marathon;7627.0;23.24931506849315
386;02:07:07;Samuel Kosgei;KEN;1986-01-20;1.0;Kosice;2015-10-04;Men;Marathon;7627.0;29.723287671232878
386;02:07:07;Felix Kandie;KEN;1987-04-10;3.0;Valencia;2015-11-15;Men;Marathon;7627.0;28.61917808219178
392;02:07:08;John Kiprotich;KEN;1989-03-30;7.0;Amsterdam;2011-10-16;Men;Marathon;7628.0;22.561643835616437
392;02:07:08;Mark Korir;KEN;1985-01-10;2.0;Seoul;2013-11-03;Men;Marathon;7628.0;28.832876712328765
392;02:07:08;Abreham Cherkos;ETH;1989-09-23;5.0;Seoul;2014-03-16;Men;Marathon;7628.0;24.493150684931507
392;02:07:08;Gilbert Yegon;KEN;1988-08-06;3.0;Frankfurt;2014-10-26;Men;Marathon;7628.0;26.23835616438356
396;02:07:09;Japhet Kosgei;KEN;1968-12-20;1.0;Rotterdam;1999-04-18;Men;Marathon;7629.0;30.345205479452055
396;02:07:09;Benjamin Maiyo;KEN;1978-10-06;2.0;Chicago;2005-10-09;Men;Marathon;7629.0;27.027397260273972
396;02:07:09;Bazu Worku Hayla;ETH;1990-09-15;6.0;Dubai;2015-01-23;Men;Marathon;7629.0;24.372602739726027
399;02:07:10;Khalid Khannouchi;MAR;1971-12-22;1.0;Chicago;1997-10-19;Men;Marathon;7630.0;25.843835616438355
399;02:07:10;Philip Sanga Kimutai;KEN;1983-09-10;7.0;Boston;2011-04-18;Men;Marathon;7630.0;27.621917808219177
399;02:07:10;Belay Assefa;ETH;1992-06-17;4.0;Hamburg;2014-05-04;Men;Marathon;7630.0;21.893150684931506
399;02:07:10;Tebalu Zawude;ETH;1987-11-02;4.0;Frankfurt;2014-10-26;Men;Marathon;7630.0;27.0
399;02:07:10;Festus Talam;KEN;1994-10-20;4.0;Rotterdam;2017-04-09;Men;Marathon;7630.0;22.484931506849314
404;02:07:11;Abdelkader El Mouaziz;MAR;1969-01-01;1.0;London;2001-04-22;Men;Marathon;7631.0;32.326027397260276
404;02:07:11;Alfred Kering;KEN;1980-01-01;2.0;Paris;2010-04-11;Men;Marathon;7631.0;30.295890410958904
404;02:07:11;Yemane Adhane;ETH;1985-04-08;2.0;Praha;2010-05-09;Men;Marathon;7631.0;25.101369863013698
404;02:07:11;Philip Sanga Kimutai;KEN;1983-09-10;4.0;Frankfurt;2010-10-31;Men;Marathon;7631.0;27.15890410958904
404;02:07:11;Mulugeta Wami;ETH;1982-07-17;6.0;Amsterdam;2012-10-21;Men;Marathon;7631.0;30.284931506849315
404;02:07:11;Shumi Dechasa;ETH;1989-05-28;2.0;Seoul;2013-03-17;Men;Marathon;7631.0;23.81917808219178
404;02:07:11;Alfers Lagat;KEN;1986-08-07;3.0;Eindhoven;2014-10-12;Men;Marathon;7631.0;28.2
404;02:07:11;Nixson Kurgat;KEN;1987-11-07;1.0;Chuncheon;2014-10-26;Men;Marathon;7631.0;26.986301369863014
404;02:07:11;Cyprian Kotut;KEN;1992-01-01;1.0;Paris;2016-04-03;Men;Marathon;7631.0;24.27123287671233
413;02:07:12;Carlos Lopes;POR;1947-02-18;1.0;Rotterdam;1985-04-20;Men;Marathon;7632.0;38.1945205479452
413;02:07:12;Jaouad Gharib;MAR;1972-05-22;3.0;London;2004-04-18;Men;Marathon;7632.0;31.92876712328767
413;02:07:12;Paul Kirui;KEN;1980-02-05;3.0;Amsterdam;2007-10-21;Men;Marathon;7632.0;27.726027397260275
413;02:07:12;James Rotich;KEN;1978-12-22;4.0;Amsterdam;2007-10-21;Men;Marathon;7632.0;28.84931506849315
413;02:07:12;Azmeraw Bekele;ETH;1986-01-22;5.0;Dubai;2014-01-24;Men;Marathon;7632.0;28.024657534246575
413;02:07:12;Solomon Yego;KEN;1987-05-10;3.0;Paris;2017-04-09;Men;Marathon;7632.0;29.936986301369863
419;02:07:13;Steve Jones;GBR;1955-08-04;1.0;Chicago;1985-10-20;Men;Marathon;7633.0;30.232876712328768
